date,cpi,policy_rate,neer,reer,fx_usd,fx_eur,reserves,oil_brent,output_gap
2010-08-01,90.0,5.75,101.81,103.41,3.224,4.311,37.7,113.4,0.21
2010-09-01,90.5,5.5,103.92,105.5,3.209,4.292,39.0,111.8,0.51
2010-10-01,91.8,5.5,104.26,105.82,3.16,4.296,39.5,109.0,1.33
2010-11-01,92.4,5.5,103.39,104.93,3.184,4.293,39.3,112.4,1.39
2010-12-01,92.7,5.25,103.71,105.22,3.113,4.325,40.6,116.3,1.58
2011-01-01,93.1,5.25,103.63,105.12,3.156,4.273,40.3,111.9,2.26
2011-02-01,93.7,5.25,104.02,105.5,3.18,4.32,39.2,116.2,1.78
2011-03-01,93.1,5.25,104.22,105.68,3.234,4.338,39.4,103.1,1.86
2011-04-01,93.9,5.25,102.64,104.07,3.177,4.336,38.4,113.0,2.28
2011-05-01,93.0,5.25,103.54,104.95,3.178,4.378,39.2,110.3,2.28
2011-06-01,93.4,5.25,103.03,104.42,3.207,4.322,40.0,108.6,2.25
2011-07-01,93.2,5.25,103.06,104.42,3.21,4.361,39.5,109.3,1.67
2011-08-01,94.1,5.25,103.06,104.41,3.307,4.344,39.9,101.3,2.07
2011-09-01,94.3,5.25,102.57,103.9,3.33,4.381,38.4,105.0,1.39
2011-10-01,94.5,5.25,102.45,103.75,3.31,4.36,39.6,105.1,1.36
2011-11-01,94.7,5.25,102.23,103.51,3.353,4.358,38.2,106.8,0.9
2011-12-01,94.4,5.25,102.65,103.91,3.337,4.402,39.3,99.1,2.03
2012-01-01,94.9,5.25,102.21,103.45,3.347,4.369,38.0,96.6,1.25
2012-02-01,94.5,5.25,101.94,103.16,3.357,4.355,38.4,92.6,1.38
2012-03-01,95.9,5.0,101.04,102.24,3.374,4.38,38.8,92.1,1.07
2012-04-01,95.4,5.0,101.31,102.49,3.354,4.411,37.3,85.5,1.45
2012-05-01,95.5,4.75,101.78,102.94,3.425,4.434,37.5,78.1,1.06
2012-06-01,96.5,4.75,101.19,102.32,3.432,4.412,38.2,76.4,0.7
2012-07-01,95.5,4.5,101.33,102.44,3.472,4.444,36.9,70.3,1.13
2012-08-01,95.7,4.5,101.71,102.81,3.469,4.391,35.8,70.3,0.5
2012-09-01,95.9,4.5,101.18,102.26,3.478,4.417,38.4,62.5,0.59
2012-10-01,96.5,4.25,100.55,101.6,3.474,4.426,36.1,61.0,0.14
2012-11-01,96.8,4.25,100.08,101.11,3.519,4.436,36.5,58.1,0.25
2012-12-01,97.1,4.0,98.9,99.91,3.555,4.446,37.1,52.2,0.64
2013-01-01,98.1,4.0,99.92,100.91,3.516,4.465,35.5,54.9,-0.07
2013-02-01,96.3,4.0,99.75,100.73,3.561,4.444,35.4,53.3,0.07
2013-03-01,97.8,3.75,100.03,100.98,3.574,4.461,36.5,51.0,0.5
2013-04-01,97.5,3.75,99.67,100.6,3.554,4.462,35.1,48.8,0.34
2013-05-01,97.8,3.5,99.51,100.42,3.566,4.446,36.4,43.7,1.08
2013-06-01,98.0,3.5,98.7,99.59,3.599,4.468,37.0,45.2,1.03
2013-07-01,98.1,3.5,99.03,99.9,3.566,4.472,36.8,44.0,0.25
2013-08-01,99.5,3.25,99.65,100.5,3.619,4.476,36.0,44.2,0.66
2013-09-01,99.4,3.25,100.18,101.01,3.59,4.484,38.6,47.8,0.72
2013-10-01,99.3,3.0,99.2,100.0,3.657,4.489,37.6,51.2,0.33
2013-11-01,100.1,3.0,99.33,100.11,3.703,4.482,38.8,57.4,0.06
2013-12-01,99.1,2.75,99.56,100.32,3.616,4.524,37.6,53.9,0.5
2014-01-01,99.4,2.75,98.6,99.34,3.666,4.474,37.3,55.8,0.45
2014-02-01,99.2,2.75,99.1,99.82,3.657,4.484,38.2,57.6,0.37
2014-03-01,99.9,2.5,98.47,99.16,3.739,4.561,37.8,54.9,0.63
2014-04-01,100.3,2.5,99.18,99.86,3.7,4.477,37.1,63.4,0.28
2014-05-01,100.4,2.5,98.74,99.4,3.781,4.47,39.2,66.5,0.16
2014-06-01,100.5,2.25,98.73,99.37,3.77,4.516,37.5,76.6,0.53
2014-07-01,99.9,2.25,98.11,98.73,3.819,4.454,36.6,71.4,0.61
2014-08-01,100.9,2.25,98.77,99.36,3.823,4.495,39.0,71.6,0.16
2014-09-01,100.8,2.0,99.37,99.94,3.908,4.547,37.6,69.2,0.77
2014-10-01,101.1,2.0,97.75,98.3,3.887,4.466,37.5,64.5,-0.02
2014-11-01,100.0,2.0,98.0,98.53,3.958,4.456,36.6,70.1,0.33
2014-12-01,101.0,1.75,98.2,98.71,3.961,4.467,39.4,67.6,0.42
2015-01-01,100.5,1.75,98.39,98.88,3.997,4.52,37.0,66.4,0.31
2015-02-01,101.0,1.75,97.72,98.19,4.013,4.527,38.2,57.6,0.38
2015-03-01,101.6,1.75,96.59,97.04,3.994,4.492,39.1,60.9,1.13
2015-04-01,101.5,1.75,98.67,99.1,4.031,4.52,38.8,48.8,0.38
2015-05-01,101.3,1.75,98.38,98.78,4.079,4.537,38.6,51.1,1.38
2015-06-01,101.8,1.75,97.13,97.52,4.018,4.548,37.5,52.3,0.84
2015-07-01,101.4,1.75,97.7,98.06,4.085,4.505,38.4,39.0,0.78
2015-08-01,102.7,1.75,98.78,99.12,4.103,4.461,39.3,37.5,0.93
2015-09-01,102.2,1.75,98.72,99.04,4.042,4.495,38.7,36.6,1.57
2015-10-01,103.0,1.75,98.47,98.77,4.031,4.506,39.7,32.0,0.59
2015-11-01,102.4,1.75,97.91,98.19,4.092,4.511,40.2,26.0,0.59
2015-12-01,102.6,1.75,98.04,98.3,4.075,4.514,40.6,28.0,0.74
2016-01-01,102.7,1.75,97.94,98.17,4.156,4.545,39.0,21.8,1.01
2016-02-01,103.6,1.75,98.48,98.69,4.105,4.551,41.6,31.4,0.54
2016-03-01,103.2,1.75,97.4,97.6,4.084,4.521,40.3,32.2,1.09
2016-04-01,104.0,1.75,97.35,97.53,4.078,4.552,39.5,44.7,1.62
2016-05-01,103.8,1.75,98.17,98.32,4.149,4.538,40.2,42.6,1.21
2016-06-01,103.4,1.75,97.56,97.7,4.104,4.534,41.0,49.0,1.12
2016-07-01,104.3,1.75,98.18,98.3,4.126,4.555,37.9,57.5,1.07
2016-08-01,104.3,1.75,97.08,97.18,4.158,4.539,38.7,54.1,1.55
2016-09-01,105.0,1.75,97.31,97.38,4.119,4.586,36.8,61.4,1.09
2016-10-01,104.7,1.75,96.79,96.84,4.136,4.511,38.7,67.5,1.91
2016-11-01,105.9,1.75,97.17,97.2,4.141,4.534,38.6,61.5,1.98
2016-12-01,105.7,1.75,96.35,96.36,4.166,4.545,38.1,69.7,1.53
2017-01-01,105.9,1.75,96.76,96.75,4.168,4.56,37.5,72.8,1.5
2017-02-01,106.5,1.75,96.2,96.17,4.152,4.582,36.2,76.0,1.84
2017-03-01,106.9,1.75,97.18,97.12,4.169,4.558,38.0,71.6,1.9
2017-04-01,106.7,1.75,97.11,97.03,4.164,4.531,38.6,73.0,1.39
2017-05-01,106.7,1.75,95.81,95.71,4.139,4.585,36.9,80.2,1.51
2017-06-01,106.5,1.75,97.25,97.13,4.199,4.588,37.5,81.2,1.32
2017-07-01,107.2,1.75,97.74,97.6,4.257,4.532,35.8,82.8,1.87
2017-08-01,107.5,1.75,96.44,96.28,4.182,4.579,37.2,86.2,1.99
2017-09-01,108.0,1.75,96.02,95.84,4.194,4.548,36.4,86.3,1.44
2017-10-01,108.1,1.75,97.65,97.45,4.199,4.573,35.9,92.2,1.74
2017-11-01,108.8,1.75,95.51,95.29,4.255,4.572,35.7,95.6,1.52
2017-12-01,108.5,1.75,96.09,95.85,4.255,4.614,35.9,95.7,1.7
2018-01-01,109.0,1.75,96.09,95.83,4.245,4.603,36.3,106.6,2.16
2018-02-01,109.8,1.75,96.24,95.95,4.244,4.603,35.5,101.4,0.86
2018-03-01,109.6,1.5,95.32,95.02,4.296,4.682,36.8,95.4,0.06
2018-04-01,109.7,1.5,94.47,94.14,4.267,4.663,37.7,100.0,-1.26
2018-05-01,109.7,1.5,93.81,93.47,4.34,4.733,37.4,94.1,-1.66
2018-06-01,110.0,1.5,93.69,93.32,4.383,4.739,40.3,98.4,-2.66
2018-07-01,110.1,1.25,92.93,92.54,4.341,4.78,38.8,98.5,-3.78
2018-08-01,110.5,1.25,93.02,92.61,4.354,4.831,39.5,90.5,-4.56
2018-09-01,111.3,1.25,92.92,92.49,4.427,4.844,39.6,93.9,-4.25
2018-10-01,111.2,1.25,92.66,92.21,4.342,4.874,42.2,90.2,-4.34
2018-11-01,110.9,1.25,94.22,93.75,4.374,4.854,41.6,89.5,-4.33
2018-12-01,112.5,1.25,93.55,93.06,4.315,4.875,40.9,90.7,-3.17
2019-01-01,112.1,1.25,93.37,92.86,4.295,4.87,42.9,82.3,-3.68
2019-02-01,111.7,1.25,94.0,93.46,4.317,4.886,42.5,80.6,-2.67
2019-03-01,112.5,1.5,94.2,93.64,4.282,4.893,42.9,80.0,-1.49
2019-04-01,113.0,1.5,93.38,92.81,4.316,4.883,42.7,80.0,0.1
2019-05-01,114.1,1.5,94.5,93.9,4.305,4.847,42.7,82.1,-0.43
2019-06-01,113.2,1.75,93.9,93.28,4.281,4.896,43.9,83.2,0.92
2019-07-01,114.4,1.75,95.35,94.71,4.335,4.898,43.6,82.8,1.44
2019-08-01,114.9,2.0,94.84,94.18,4.321,4.877,45.8,84.2,2.34
2019-09-01,114.4,2.5,94.47,93.79,4.329,4.865,43.7,81.4,2.49
2019-10-01,114.9,2.75,94.38,93.68,4.301,4.928,46.2,85.4,2.57
2019-11-01,114.9,3.0,94.78,94.06,4.389,4.908,45.2,79.9,3.09
2019-12-01,115.6,3.5,95.22,94.48,4.372,4.893,45.9,88.6,2.87
2020-01-01,116.0,3.75,94.99,94.22,4.379,4.875,46.7,81.9,3.78
2020-02-01,117.6,4.0,94.56,93.77,4.347,4.883,45.7,77.1,3.43
2020-03-01,119.1,4.25,94.36,93.55,4.31,4.932,47.0,76.1,3.46
2020-04-01,119.7,4.5,93.7,92.87,4.426,4.908,44.4,80.5,3.11
2020-05-01,120.5,4.75,93.5,92.65,4.372,4.894,46.1,78.0,3.06
2020-06-01,122.7,5.0,92.3,91.43,4.357,4.92,46.1,80.5,3.17
2020-07-01,124.1,5.5,93.48,92.59,4.397,4.892,46.0,79.4,2.66
2020-08-01,125.4,5.75,92.81,91.9,4.426,4.945,47.0,77.3,2.81
2020-09-01,126.5,6.0,91.95,91.02,4.396,4.943,47.6,74.4,2.58
2020-10-01,128.1,6.25,92.94,91.99,4.441,4.905,48.1,71.9,2.49
2020-11-01,130.0,6.5,91.71,90.73,4.441,4.903,47.9,74.7,2.05
2020-12-01,130.8,6.75,90.82,89.82,4.382,4.86,47.3,78.1,2.97
2021-01-01,131.8,7.0,91.43,90.41,4.4,4.887,48.3,75.6,2.3
2021-02-01,132.5,7.0,91.2,90.16,4.455,4.893,48.3,70.7,2.67
2021-03-01,133.3,7.0,91.2,90.14,4.352,4.928,49.1,74.5,2.48
2021-04-01,134.7,7.0,90.79,89.71,4.436,4.92,49.1,74.7,1.63
2021-05-01,134.6,7.0,91.22,90.12,4.404,4.9,48.7,70.3,1.52
2021-06-01,135.3,7.0,90.87,89.75,4.439,4.926,48.1,73.0,2.41
2021-07-01,135.8,7.0,91.28,90.13,4.451,4.946,48.5,72.2,2.01
2021-08-01,137.1,7.0,90.05,88.89,4.456,4.949,48.7,68.2,1.32
2021-09-01,138.2,7.0,90.78,89.6,4.457,4.898,49.1,72.4,1.24
2021-10-01,138.2,7.0,91.85,90.65,4.447,4.94,49.7,72.7,0.82
2021-11-01,138.7,7.0,90.62,89.39,4.555,4.914,50.2,73.9,0.96
2021-12-01,139.3,7.0,90.7,89.45,4.549,4.967,49.8,73.5,0.46
2022-01-01,139.0,7.0,90.78,89.51,4.465,4.967,50.0,65.8,-0.09
2022-02-01,140.6,7.0,90.31,89.03,4.551,4.932,50.3,66.8,0.11
2022-03-01,140.6,7.0,89.74,88.43,4.496,4.936,49.9,70.9,0.51
2022-04-01,140.9,7.0,90.64,89.31,4.516,4.945,49.8,70.6,0.17
2022-05-01,140.7,7.0,90.73,89.38,4.515,4.907,49.3,70.2,0.48
2022-06-01,141.1,7.0,90.56,89.18,4.501,4.966,50.3,80.0,0.19
2022-07-01,141.3,7.0,90.43,89.03,4.554,4.954,51.4,69.7,0.27
2022-08-01,142.2,7.0,90.44,89.02,4.533,4.983,50.6,72.1,0.75
2022-09-01,141.8,7.0,90.84,89.41,4.519,4.939,51.1,72.2,0.57
2022-10-01,143.1,7.0,90.16,88.7,4.498,4.951,51.9,72.0,0.5
2022-11-01,142.7,7.0,89.88,88.4,4.515,4.933,52.1,69.7,0.76
2022-12-01,142.2,7.0,89.94,88.45,4.497,4.946,51.0,73.6,0.64
2023-01-01,142.9,7.0,90.29,88.77,4.55,4.944,52.8,69.7,0.92
2023-02-01,142.9,7.0,90.66,89.12,4.517,4.992,53.0,71.8,0.38
2023-03-01,142.5,6.75,89.6,88.04,4.548,4.955,51.4,71.5,0.4
2023-04-01,144.3,6.75,89.92,88.34,4.6,4.974,51.7,73.7,0.16
2023-05-01,144.2,6.75,89.99,88.39,4.598,4.963,53.5,81.0,0.43
2023-06-01,144.3,6.5,89.29,87.67,4.564,4.944,52.5,68.9,0.85
2023-07-01,144.4,6.5,89.75,88.1,4.566,4.969,51.0,77.1,0.96
2023-08-01,143.9,6.5,88.97,87.3,4.628,4.986,51.8,70.6,0.87
2023-09-01,144.5,6.5,88.77,87.09,4.59,4.947,52.8,74.6,0.08
2023-10-01,145.3,6.5,89.79,88.08,4.568,4.992,52.3,79.8,0.93
2023-11-01,144.7,6.5,89.37,87.65,4.538,4.956,53.0,77.2,0.09
2023-12-01,144.3,6.25,89.62,87.87,4.595,4.964,53.5,74.2,0.91
2024-01-01,145.5,6.25,89.47,87.7,4.611,4.987,54.7,75.8,0.55
2024-02-01,145.8,6.25,88.95,87.16,4.571,4.961,53.5,79.7,0.87
2024-03-01,146.1,6.25,89.37,87.56,4.601,4.977,54.7,75.1,0.29
2024-04-01,146.6,6.25,88.74,86.9,4.585,4.97,55.1,77.7,1.04
2024-05-01,146.7,6.25,89.99,88.14,4.593,4.98,55.2,76.8,0.28
2024-06-01,146.8,6.25,88.59,86.71,4.527,4.925,54.4,74.4,0.53
2024-07-01,147.4,6.25,89.12,87.22,4.598,4.937,52.8,82.5,0.44
2024-08-01,146.5,6.0,88.66,86.74,4.637,4.992,54.8,77.5,0.24
2024-09-01,147.6,6.0,89.41,87.48,4.592,5.002,55.4,69.1,0.79
2024-10-01,147.8,6.0,88.92,86.96,4.615,4.959,54.7,75.4,1.3
2024-11-01,147.3,6.0,88.79,86.81,4.594,4.974,56.2,72.4,1.56
2024-12-01,147.4,6.0,89.42,87.42,4.631,4.987,55.7,76.6,0.83
